,id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name,Entities,IsEntity
104,nifty_2,2010-01-11,Research and Markets: Epilepsy - Drug Pipeline Analysis and Market Forecasts to 2015 Report,Fall,-0.0093,91,research and market epilepsy drug pipeline analysis and market forecast report,78,11,0,pharmacy,"['research', 'and', 'market', 'e', '##pile', '##psy', 'drug', 'pipeline', 'analysis', 'and', 'market', 'forecast', 'report']",1
127,nifty_2,2010-01-11," Weird Science?  Big Pharma's Top Three M&A; Deals in 2009 Nears $160 Billion, an Industrial Info News Alert",Fall,-0.0093,108,weird science big pharma top three deal nears billion industrial info news alert,80,13,0,pharmacy,"['weird', 'science', 'big', 'p', '##har', '##ma', 'top', 'three', 'deal', 'near', '##s', 'billion', 'industrial', 'info', 'news', 'alert']",1
186,nifty_2,2010-01-11,Research and Markets: Booming Hospital Services Market in India,Fall,-0.0093,63,research and market booming hospital service market india,57,8,0,pharmacy,"['research', 'and', 'market', 'boom', '##ing', 'hospital', 'service', 'market', 'in', '##dia']",1
222,nifty_2,2010-01-11, BioCentury Publishes Investor Picks for New Biotech Bellwethers in 2010,Fall,-0.0093,72,biocentury publishes investor pick for new biotech bellwether,61,8,0,pharmacy,"['bio', '##cent', '##ury', 'publishes', 'investor', 'pick', 'for', 'new', 'bio', '##tech', 'bell', '##we', '##ther']",1
396,nifty_2,2010-01-11,Research and Markets: Vertex Pharmaceuticals - SWOT Framework Analysis,Fall,-0.0093,70,research and market vertex pharmaceutical swot framework analysis,65,8,0,pharmacy,"['research', 'and', 'market', 'vertex', 'pharmaceutical', 's', '##wo', '##t', 'framework', 'analysis']",1
404,nifty_2,2010-01-11,Elite Pharma Insiders to Reveal Key Survival Strategies for Pharmaceutical Industry in 2010,Fall,-0.0093,91,elite pharma insider reveal key survival strategy for pharmaceutical industry,77,10,0,pharmacy,"['elite', 'p', '##har', '##ma', 'inside', '##r', 'reveal', 'key', 'survival', 'strategy', 'for', 'pharmaceutical', 'industry']",1
492,nifty_2,2010-01-11,Resverlogix Presenting at Biotech Showcase,Fall,-0.0093,42,resverlogix presenting biotech showcase,39,4,0,pharmacy,"['re', '##s', '##ver', '##log', '##ix', 'presenting', 'bio', '##tech', 'showcase']",1
493,nifty_2,2010-01-11,"Renewed Brand: First Report - Managed Care Focuses on Urgent Reporting of Healthcare, Pharmaceuticals and Managed Markets",Fall,-0.0093,121,renewed brand first report managed care focus urgent reporting healthcare pharmaceutical and managed market,107,14,0,pharmacy,"['renewed', 'brand', 'first', 'report', 'managed', 'care', 'focus', 'urgent', 'reporting', 'healthcare', 'pharmaceutical', 'and', 'managed', 'market']",1
516,nifty_2,2010-01-11,AMAG shares rise on strong revenue outlook for anemia drug,Fall,-0.0093,58,amag share rise strong revenue outlook for anemia drug,54,9,0,pharmacy,"['am', '##ag', 'share', 'rise', 'strong', 'revenue', 'outlook', 'for', 'an', '##emia', 'drug']",1
661,nifty_2,2010-01-11,Spherix to Present at Annual OneMedPlace Finance Forum and at EBD Biotech Showcase in San Francisco,Fall,-0.0093,99,spherix present annual onemedplace finance forum and ebd biotech showcase san francisco,87,12,0,pharmacy,"['s', '##pher', '##ix', 'present', 'annual', 'one', '##med', '##place', 'finance', 'forum', 'and', 'e', '##b', '##d', 'bio', '##tech', 'showcase', 'sa', '##n', 'f', '##ran', '##cis', '##co']",1
