id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name
nifty_1,2010-01-07,Journal Register Taps Paton as CEO,Neutral,0.0033,34,journal register tap paton ceo,30,5,8,other
nifty_1,2010-01-07,Gold Pressured by Dollar,Neutral,0.0033,24,gold pressured dollar,21,3,6,precious metals
nifty_1,2010-01-07,U.S. Airlines Claw Back,Neutral,0.0033,23,airline claw back,17,3,9,aviation industry
nifty_1,2010-01-07,Symetra Gets 2010 IPO Market Rolling,Neutral,0.0033,36,symetra get ipo market rolling,30,5,5,other
nifty_2,2010-01-11,"Tianyin Pharmaceutical, Co., Inc. Announces Cash Dividend to Common Shareholders - Record Date January 29, 2010",Fall,-0.0093,111,tianyin pharmaceutical inc announces cash dividend common shareholder record date january,89,11,3,quarterly results (2)
nifty_2,2010-01-11,KCM HOLDINGS Venture GEENIUS Launches Patented Technology Platform Demo Ahead of IPO,Fall,-0.0093,84,kcm holding venture geenius launch patented technology platform demo ahead ipo,78,11,5,other
nifty_2,2010-01-11, IDO Security Wins Tender to Install MagShoe(TM) Units in Chinese Airports,Fall,-0.0093,74,ido security win tender install magshoe unit chinese airport,60,9,5,other
nifty_2,2010-01-11,Hoover`s IPO Scorecard Reveals First Year-Over-Year Triple-Digit Percentage Increase in More Than a Decade,Fall,-0.0093,106,hoover ipo scorecard reveals first year over year triple digit percentage increase more than decade,99,15,5,other
nifty_2,2010-01-11,US gold hits five-week high on dollar decline,Fall,-0.0093,45,gold hit five week high dollar decline,38,7,6,precious metals
nifty_2,2010-01-11,Eurex launches single stock dividend futures,Fall,-0.0093,44,eurex launch single stock dividend future,41,6,3,quarterly results (2)
nifty_2,2010-01-11, Fortis Inc. Announces First Quarter Dividends-2010,Fall,-0.0093,51,fortis inc announces first quarter dividend,43,6,3,quarterly results (2)
nifty_2,2010-01-11,"Gold hits 5-week high on dollar drop, China data",Fall,-0.0093,48,gold hit week high dollar drop china data,41,8,6,precious metals
