,id,date,news,label,pct_change,text_length,textlemma,textlengthforlemma,word_count,topic,topic_name,year,count
71,nifty_2,2010-01-11,"Research and Markets: The History of Wireless: How Creative Scientists, Inventors and Entrepreneurs Built and Energized the Mass Market for Wireless",Fall,-0.0093,148,research and market the history wireless how creative scientist inventor and entrepreneur built and energized the mass market for wireless,138,20,7,telecom industry,2010,472
97,nifty_2,2010-01-11,U.S. stock futures signal gains; eyes on Alcoa,Fall,-0.0093,46,stock future signal gain eye alcoa,34,6,2,stock,2010,578
104,nifty_2,2010-01-11,Research and Markets: Epilepsy - Drug Pipeline Analysis and Market Forecasts to 2015 Report,Fall,-0.0093,91,research and market epilepsy drug pipeline analysis and market forecast report,78,11,0,pharmacy,2010,673
127,nifty_2,2010-01-11," Weird Science?  Big Pharma's Top Three M&A; Deals in 2009 Nears $160 Billion, an Industrial Info News Alert",Fall,-0.0093,108,weird science big pharma top three deal nears billion industrial info news alert,80,13,0,pharmacy,2010,673
174,nifty_2,2010-01-11,"Research and Markets: 2009 State of the China SMB Market Q-Pulse Wave 2 - Understanding the SMB Landscape During an Economic Downturn - Q2, 2009 Results and Outlook for Q3, 2009",Fall,-0.0093,177,research and market state the china smb market pulse wave understanding the smb landscape during economic downturn result and outlook for,137,21,7,telecom industry,2010,472
175,nifty_2,2010-01-11,"Research and Markets: 2009 State of the India SMB Market Q-Pulse Wave 3 - is the Downturn over? SMBs Poised for Rebound-QP3, 2009 Results and Outlook for QP4, 2009",Fall,-0.0093,163,research and market state the india smb market pulse wave the downturn over smbs poised for rebound result and outlook for,122,21,7,telecom industry,2010,472
186,nifty_2,2010-01-11,Research and Markets: Booming Hospital Services Market in India,Fall,-0.0093,63,research and market booming hospital service market india,57,8,0,pharmacy,2010,673
222,nifty_2,2010-01-11, BioCentury Publishes Investor Picks for New Biotech Bellwethers in 2010,Fall,-0.0093,72,biocentury publishes investor pick for new biotech bellwether,61,8,0,pharmacy,2010,673
236,nifty_2,2010-01-11,"UPDATE 1-New York & Co to open more outlet stores, backs Q4 view",Fall,-0.0093,64,update new york open more outlet store back view,48,9,1,quarterly results (1),2010,828
238,nifty_2,2010-01-11,"Research and Markets: Liberia - Telecoms, Mobile and Broadband",Fall,-0.0093,62,research and market liberia telecom mobile and broadband,56,8,7,telecom industry,2010,472
242,nifty_2,2010-01-11,Research and Markets: Australia - Digital Economy - E-Health,Fall,-0.0093,60,research and market australia digital economy health,52,7,7,telecom industry,2010,472
249,nifty_2,2010-01-11,SAP Outlines How IT Helps Retailers Drive Sustainability at NRF 2010,Fall,-0.0093,68,sap outline how help retailer drive sustainability nrf,54,8,7,telecom industry,2010,472
255,nifty_2,2010-01-11, Juniper Networks Positioned in Leaders Quadrant of Leading Analyst Firm's SSL VPN Magic Quadrant,Fall,-0.0093,97,juniper network positioned leader quadrant leading analyst firm ssl vpn magic quadrant,86,12,4,cybersecurity,2010,437
260,nifty_2,2010-01-11,"McAfee, Inc. Adds Eight New Partners to Its Security Innovation Alliance Partner Program",Fall,-0.0093,88,mcafee inc add eight new partner it security innovation alliance partner program,80,12,4,cybersecurity,2010,437
270,nifty_2,2010-01-11,Cybera Announces National Launch of SECURE|LINK,Fall,-0.0093,47,cybera announces national launch secure link,44,6,4,cybersecurity,2010,437
273,nifty_2,2010-01-11,Telos Achieves Technology Partner Status in McAfee Security Innovation Alliance,Fall,-0.0093,79,telos achieves technology partner status mcafee security innovation alliance,76,9,4,cybersecurity,2010,437
282,nifty_2,2010-01-11,"UPDATE 1-Morgan Stanley ups Arch Coal to overweight, shares rise",Fall,-0.0093,64,update morgan stanley ups arch coal overweight share rise,57,9,1,quarterly results (1),2010,828
294,nifty_2,2010-01-11,optionsXpress Arms Retail Investors With Tools and Strategies to Help Profit in 2010,Fall,-0.0093,84,optionsxpress arm retail investor with tool and strategy help profit,68,10,1,quarterly results (1),2010,828
304,nifty_2,2010-01-11,Research and Markets: Rtds/high-strength Premixes in India,Fall,-0.0093,58,research and market rtds high strength premix india,51,8,7,telecom industry,2010,472
308,nifty_2,2010-01-11,PAREXEL Issues Updated Financial And Operational Information,Fall,-0.0093,60,parexel issue updated financial and operational information,59,7,2,stock,2010,578
336,nifty_2,2010-01-11, Exploit.PGF-JS.Gen Outranks the Trojan Leadership in BitDefender's December Top Ten Threat Report,Fall,-0.0093,98,exploit pgf gen outranks the trojan leadership bitdefender december top ten threat report,89,13,4,cybersecurity,2010,437
352,nifty_2,2010-01-11,RingCube Joins McAfee Security Innovation Alliance,Fall,-0.0093,50,ringcube join mcafee security innovation alliance,49,6,4,cybersecurity,2010,437
357,nifty_2,2010-01-11,US STOCKS-Wall St to rise on China trade data; Alcoa report due,Fall,-0.0093,63,stock wall rise china trade data alcoa report due,49,9,2,stock,2010,578
